name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Tangerang,2023-01-01T00:00:00,24,24,23,94.15,0,0,,0,0,31.7,11.2,230,1011,50,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,96749099999"
Tangerang,2023-01-01T01:00:00,24.1,24.1,23,93.49,0.023,100,rain,0,0,31.7,9.9,249,1010.6,69.2,5.3,0,0,0,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-01-01T02:00:00,24,24,24,100,0,0,,0,0,33.8,11.2,240,1010,50,6,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,96749099999"
Tangerang,2023-01-01T03:00:00,24,24,24,100,0,0,rain,0,0,37.8,11.2,267,1010,50,6,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,96749099999"
Tangerang,2023-01-01T04:00:00,24.2,24.2,23.7,96.96,0.155,100,rain,0,0,35.3,6.8,203,1010.5,89.2,5.5,0,0,0,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-01-01T05:00:00,24,24,24,100,0,0,,0,0,33.8,16.6,250,1011,100,4,0,0,0,10,Overcast,cloudy,"WIII,96749099999"
Tangerang,2023-01-01T06:00:00,24,24,24,100,0,0,rain,0,0,33.5,11.2,200,1011,89.1,5,2,0,0,10,Partially cloudy,partly-cloudy-day,"WIII,96749099999"
Tangerang,2023-01-01T07:00:00,24.6,24.6,23.7,95.1,19.701,100,rain,0,0,27.4,6.8,20,1012.6,99.6,4.2,56,0.2,1,10,"Rain, Overcast",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-01-01T08:00:00,24,24,24,100,0,0,,0,0,22.3,16.6,275.9,1012,100,2,243,0.9,2,10,Overcast,cloudy,"WIII,96749099999"
Tangerang,2023-01-01T09:00:00,25,25,24,94.19,0,0,,0,0,22.7,7.6,250,1013,89.1,3,442,1.6,4,10,Partially cloudy,partly-cloudy-day,"WIII,96749099999"
Tangerang,2023-01-01T10:00:00,25,25,24.6,97.25,44.181,100,rain,0,0,20.9,9.1,247,1013.3,94.5,3.9,668,2.4,7,10,"Rain, Overcast",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
